Player,Team,Pos,PTS
Oso Ighodaro,PHO,PF,8.5
Jared Rhoden,2TM,SG,8.5
Andre Jackson Jr.,MIL,SG,8.4
Bruce Brown,NOP,PG,8.3
Enrique Freeman,IND,PF,8.3
Elijah Harkless,UTA,SG,8.3
Trey Jemison,NOP,C,8.2
Baylor Scheierman,BOS,SG,8.2
Trey Alexander,DEN,SG,8.2
Chris Livingston,MIL,SF,8.2
Ariel Hukporti,NYK,C,8
Emoni Bates,CLE,SF,8
Cody Williams,UTA,SG,7.9
Pete 0nce,PHI,C,7.9
Jae Crowder,SAC,PF,7.8
Kyle Lowry,PHI,PG,7.7
Kessler Edwards,DAL,SF,7.7
Josh Richardson,MIA,SG,7.7
Josh Christopher,MIA,SG,7.7
Tristan Thompson,CLE,C,7.5
Armel Traoré,LAL,SF,7.5
Dwight Powell,DAL,C,7.4
Gary Harris,ORL,SG,7.3
Alex Len,SAC,C,7.3
Jordan Walsh,BOS,PF,7.2
Colby Jones,SAC,SG,7.2
PJ Dozier,MIN,SG,7.2
Malachi Flynn,CHO,PG,7.2
Nicolas Batum,LAC,PF,7.1
John Konchar,MEM,SG,7.1
Elfrid Payton,2TM,PG,7.1
Maxwell Lewis,2TM,SF,7.1
Alex Len,2TM,C,6.8
Tristen Newton,2TM,SG,6.8
Taylor Hendricks,UTA,PF,6.7
Cam Reddish,LAL,SF,6.6
Stanley Umude,MIL,SG,6.6
Jared Rhoden,TOR,SG,6.5
Reece Beekman,2TM,PG,6.4
Marvin Bagley III,MEM,PF,6.4
Jericho Sims,MIL,C,6.3
Reece Beekman,BRK,PG,6.3
Garrett Temple,TOR,SG,6
Delon Wright,2TM,PG,5.9
Maxi Kleber,DAL,PF,5.8
Delon Wright,MIL,PG,5.8
Jalen Bridges,PHO,SF,5.8
Liam Robbins,MIL,C,5.7
Jericho Sims,2TM,C,5.6
Ulrich Chomche,TOR,PF,5.6
Jericho Sims,NYK,C,5.5
Spencer Jones,DEN,SF,5.5
Xavier Tillman Sr.,BOS,C,5.2
Luke Travers,CLE,SG,5.2
Joe Ingles,MIN,SF,5
Maxwell Lewis,LAL,SF,5
Yuri Collins,GSW,PG,4.5
Jacob Toppin,NYK,SF,4.4
Alex Len,LAL,C,3.6
Malevy Leons,OKC,SF,3.4
D.J. Carton,TOR,SG,3.3
Daishen Nix,MIN,PG,2.8
Elfrid Payton,CHO,PG,1.8
Vasilije Micić,PHO,PG,0
Sidy Cissoko,POR,SF,0
Justin Mi0ya,POR,SF,0
Bobi Klintman,DET,SF,0
Tristen Newton,MIN,SG,0
Cole Swider,DET,SF,0
Harrison Ingram,SAS,SF,0
Daniss Jenkins,DET,PG,0
Jalen McDaniels,WAS,SF,0
Riley Minix,SAS,SF,0
Jaylen Martin,WAS,SF,0
Jesse Edwards,MIN,C,0
Mac McClung,ORL,SG,0
Skal Labissière,SAC,PF,0
Miles Norris,BOS,PF,0
Zyon Pullin,MEM,SG,0
Jahlil Okafor,IND,C,0
Tony Bradley,IND,C,0
Emanuel Miller,CHI,PF,0
Chuma Okeke,PHI,PF,0
Jahmir Young,CHI,PG,0
