Player,Team,Pos,TRB
Noah Clowney,BRK,PF,6.1
Max Strus,CLE,SF,6.1
Brandon Ingram,NOP,SF,6.1
Jay Huff,MEM,C,6.1
Tosan Evbuomwan,BRK,SF,6.1
Jaden Springer,BOS,SG,6.1
Kobe Bufkin,ATL,SG,6.1
Sidy Cissoko,2TM,SF,6.1
James Harden,LAC,PG,6
Jalen Williams,OKC,SG,6
Quentin Grimes,2TM,SG,6
Quentin Grimes,DAL,SG,6
Aaron Wiggins,OKC,SG,6
De'Andre Hunter,CLE,SF,6
Jake LaRavia,SAC,PF,6
Javonte Green,2TM,SG,6
Jimmy Butler,2TM,SF,6
Cole Anthony,ORL,PG,6
Ron Holland,DET,SF,6
Kris Murray,POR,SF,6
Elfrid Payton,NOP,PG,6
Isaac Jones,SAC,PF,6
De'Anthony Melton,GSW,SG,6
Justin Mi0ya,POR,SF,6
David Duke Jr.,SAS,SG,6
Dyson Daniels,ATL,SG,5.9
Kevin Durant,PHO,PF,5.9
Rui Hachimura,LAL,PF,5.9
Franz Wagner,ORL,SF,5.9
Paul George,PHI,PF,5.9
LaMelo Ball,CHO,PG,5.9
Scotty Pippen Jr.,MEM,PG,5.9
Javonte Green,NOP,SG,5.9
Shake Milton,LAL,SG,5.9
Khris Middleton,2TM,SF,5.9
Anthony Edwards,MIN,SG,5.8
Julian Champagnie,SAS,SF,5.8
Jimmy Butler,GSW,SF,5.8
Malcolm Brogdon,WAS,PG,5.8
Josh Okogie,CHO,SG,5.8
Josh Minott,MIN,SF,5.8
Brook Lopez,MIL,C,5.7
Dorian Finney-Smith,BRK,PF,5.7
Nicolas Batum,LAC,PF,5.7
Khris Middleton,MIL,SF,5.7
Aaron Nesmith,IND,SF,5.7
Zeke N0ji,DEN,PF,5.7
Jordan Walsh,BOS,PF,5.7
Johnny Furphy,IND,SG,5.7
Johnny Davis,WAS,SG,5.7
AJ Johnson,MIL,SG,5.7
Nikola Jović,MIA,PF,5.6
Collin Gillespie,PHO,PG,5.6
Christian Braun,DEN,SG,5.5
Andrew Wiggins,GSW,SF,5.5
Kyshawn George,WAS,SG,5.5
Keon Johnson,BRK,SG,5.5
Patrick Williams,CHI,PF,5.5
Johnny Juzang,UTA,SG,5.5
Lonzo Ball,CHI,PG,5.5
Ricky Council IV,PHI,SF,5.5
Alec Burks,MIA,SG,5.5
DaQuan Jeffries,CHO,SG,5.5
Elijah Harkless,UTA,SG,5.5
Garrett Temple,TOR,SG,5.5
James Johnson,IND,PF,5.5
E.J. Liddell,CHI,PF,5.5
Daeqwon Plowden,ATL,SG,5.5
Cole Swider,DET,SF,5.5
Shai Gilgeous-Alexander,OKC,PG,5.4
Tyler Herro,MIA,SG,5.4
Andrew Wiggins,2TM,SF,5.4
Tristan Da Silva,ORL,SF,5.4
Kris Dunn,LAC,PG,5.4
Sam Hauser,BOS,PF,5.4
KJ Martin,PHI,PF,5.4
Maxi Kleber,DAL,PF,5.4
Talen Horton-Tucker,CHI,SG,5.4
Rayan Rupert,POR,SG,5.4
Jaden Springer,2TM,SG,5.4
Bilal Coulibaly,WAS,SF,5.3
Zaccharie Risacher,ATL,SF,5.3
Dalton Knecht,LAL,SF,5.3
Terance Mann,LAC,SG,5.3
Julian Phillips,CHI,SF,5.3
Alex Caruso,OKC,SG,5.3
Lindy Waters III,GSW,SG,5.3
Anthony Gill,WAS,PF,5.3
Pacome Dadiet,NYK,SG,5.3
Pete 0nce,PHI,C,5.3
Markieff Morris,2TM,PF,5.3
Trey Murphy III,NOP,SF,5.2
Harrison Barnes,SAS,PF,5.2
Dennis Schröder,DET,PG,5.2
Dorian Finney-Smith,2TM,PF,5.2
