Player,Team,Pos,PTS,TRB,AST
Jarrett Allen,CLE,C,17,13,2.5
Thomas Bryant,IND,C,17,9.8,2.8
Dennis Schröder,DET,PG,17,5.2,8.9
Jevon Carter,CHI,PG,17,4.5,4.8
Scoot Henderson,POR,PG,17,4,7.1
Josh Okogie,CHO,SG,16.9,5.8,2.4
D'Angelo Russell,LAL,PG,16.9,3.8,6.4
Patrick Baldwin Jr.,WAS,SF,16.8,7.8,0.7
Russell Westbrook,DEN,PG,16.8,6.5,8
Quentin Grimes,2TM,SG,16.8,6,3.5
Malaki Branham,SAS,SG,16.8,4.5,3.1
Jakob Poeltl,TOR,C,16.7,11.7,3.3
Tre Jones,CHI,PG,16.7,4.6,5.7
Caris LeVert,2TM,SG,16.7,4.5,5
Moses Moody,GSW,SG,16.7,4.2,2
Jordan Hawkins,NOP,SG,16.7,4.2,1.8
Day'Ron Sharpe,BRK,C,16.6,13.1,3.5
Kelly Olynyk,NOP,C,16.6,11.4,4.3
MarJon Beauchamp,2TM,SF,16.6,9.1,2.6
Isaiah Joe,OKC,SG,16.5,4.4,2.4
Scotty Pippen Jr.,MEM,PG,16.4,5.9,7.6
AJ Johnson,MIL,SG,16.4,5.7,5.7
E.J. Liddell,CHI,PF,16.4,5.5,3.3
Mikal Bridges,NYK,SF,16.4,3,3.2
Paul Reed,DET,C,16.3,9.9,3.7
Thomas Bryant,2TM,C,16.3,9.8,2.5
Kyle Kuzma,MIL,PF,16.3,8,2.6
Christian Braun,DEN,SG,16.3,5.5,2.5
Dalton Knecht,LAL,SF,16.3,5.3,1.5
Terrence Shannon Jr.,MIN,SG,16.3,5.1,3.4
Isaiah Wong,CHO,SG,16.3,4.3,3.8
Kelly Olynyk,2TM,C,16.2,9.3,5
Josh Giddey,CHI,PG,16.2,9.2,8.1
Brandon Boston Jr.,NOP,SG,16.2,4.9,3.3
OG Anunoby,NYK,PF,16.2,4.6,2
Duncan Robinson,MIA,SF,16.2,3.6,3.9
Zach Edey,MEM,C,16.1,13.4,1.5
Kelly Olynyk,TOR,C,16.1,8.4,5.3
Ausar Thompson,DET,SF,16.1,8.2,3.9
0ji Marshall,DAL,SF,16.1,6.1,3.8
Quentin Grimes,DAL,SG,16.1,6,3.4
Jeff Green,HOU,PF,16.1,4.7,1.2
Jeremy Sochan,SAS,PF,16,9.7,3.6
Duop Reath,POR,C,16,6.9,1.8
Georges Niang,2TM,PF,16,6.4,2.4
Aaron Nesmith,IND,SF,15.9,5.7,2.1
Jerami Grant,POR,PF,15.9,3.8,2.5
Rob Dillingham,MIN,PG,15.9,3.5,7
Alex Sarr,WAS,C,15.8,8.7,3
Larry 0nce Jr.,ATL,PF,15.8,8,3
Josh Okogie,2TM,SG,15.8,6.9,1.7
Corey Kispert,WAS,SF,15.8,4.1,2.3
Kevin Huerter,CHI,SG,15.8,3.9,3.6
Bogdan Bogdanović,LAC,SG,15.8,2.7,4.1
Kelly Oubre Jr.,PHI,SF,15.7,6.4,1.9
Johnny Juzang,UTA,SG,15.7,5.5,1.9
Jamison Battle,TOR,SF,15.7,5.2,2.4
Charles Bassey,SAS,C,15.6,15,1.7
Jalen Duren,DET,C,15.6,14.3,3.7
P.J. Washington,DAL,PF,15.6,9,2.6
Marcus Smart,2TM,PG,15.6,3.8,5.9
