Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
77,Nickeil Alexander-Walker,26,MIN,SG,64,10,1634,4.7,10.6,0.443,2.5,6.4,0.391,2.2,4.2,0.524,0.561,1.3,1.7,0.765,0.8,3.5,4.4,3.6,0.9,0.5,1.7,2.5,13.2
78,RJ Barrett,24,TOR,SF,49,49,1632,8.8,18.4,0.478,2,5.7,0.351,6.8,12.7,0.535,0.533,3.9,6,0.65,1,5.9,6.9,6.1,0.9,0.3,3.2,2.7,23.4
79,Fred VanVleet,30,HOU,PG,46,46,1631,5,13.1,0.382,2.7,7.9,0.342,2.4,5.3,0.453,0.485,1.9,2.3,0.826,0.7,3.3,4,5.9,1.7,0.4,1.6,2.5,14.6
80,Jalen Wilson,24,BRK,PF,61,15,1623,4.2,10.6,0.396,1.9,6,0.317,2.3,4.6,0.5,0.486,2.4,2.8,0.857,1.4,3.2,4.6,2.5,0.7,0.1,1.5,2.9,12.6
81,Jaylen Wells,21,MEM,SG,62,57,1618,5.5,12.3,0.447,2.6,7,0.371,2.9,5.3,0.547,0.553,2,2.4,0.833,1.5,2.9,4.4,2.3,0.8,0.1,1.3,2.5,15.5
82,Yves Missi,20,NOP,C,60,54,1617,4.7,8.7,0.54,0,0,0,4.7,8.7,0.54,0.54,2.1,3.4,0.618,4.6,6.1,10.7,1.7,0.7,1.8,1.5,2.8,11.6
83,Rui Hachimura,26,LAL,PF,50,50,1605,5.7,11.2,0.509,1.9,4.6,0.413,3.8,6.6,0.576,0.594,1.7,2.2,0.773,1.6,4.2,5.9,1.7,0.9,0.5,1,2,14.9
84,Keyonte George,21,UTA,PG,51,32,1600,6.2,15.6,0.397,3.1,8.8,0.352,3.2,6.9,0.464,0.497,3.6,4.5,0.8,0.5,3.8,4.3,6.8,0.8,0.2,3.2,1.9,19.1
85,Dennis Schröder,31,3TM,PG,57,41,1595,6.1,14.8,0.412,2.5,6.9,0.362,3.7,7.9,0.468,0.497,2.6,3.2,0.813,0.4,3,3.4,6.9,1.2,0.2,2.7,3.1,17.4
85,Dennis Schröder,31,BRK,PG,23,23,772,6.9,15.2,0.454,2.7,7,0.386,4.2,8.2,0.512,0.543,3.4,3.8,0.895,0.2,3,3.2,7.1,1.2,0.2,2.8,2.6,19.8
85,Dennis Schröder,31,GSW,SG,24,18,628,5.4,14.4,0.375,2.1,6.6,0.318,3.3,7.8,0.423,0.448,1.7,2.2,0.773,0.6,2.6,3.2,6,1.4,0.2,2.8,3.8,14.6
85,Dennis Schröder,31,DET,PG,10,0,195,5.7,14.6,0.39,2.6,7.4,0.351,3.1,7.2,0.431,0.479,3,3.7,0.811,0.9,4.2,5.2,8.9,0.6,0.6,2.4,3,17
86,Jordan Poole,25,WAS,SG,51,51,1594,7.9,18.8,0.42,4,10.8,0.37,3.9,8,0.488,0.527,4.5,5.1,0.882,0.6,3.2,3.7,5.5,1.6,0.5,3.8,3.7,24.2
87,CJ McCollum,33,NOP,PG,48,48,1588,8.8,19.6,0.449,3.3,8.9,0.371,5.4,10.7,0.505,0.533,2.5,3.4,0.735,0.8,3.3,4,4.2,0.8,0.5,2,2.4,23.4
88,Gradey Dick,21,TOR,SG,54,54,1587,6,14.7,0.408,2.6,7.4,0.351,3.4,7.3,0.466,0.497,3,3.5,0.857,1,3.4,4.4,2.2,1.1,0.2,1.9,2.7,17.6
89,Max Christie,21,2TM,SG,59,31,1577,4.3,9.7,0.443,1.9,5.2,0.365,2.4,4.5,0.533,0.541,2.2,2.6,0.846,0.7,3.3,4,2.5,1.1,0.6,1.3,2.1,12.7
89,Max Christie,21,LAL,SG,46,25,1154,4,9,0.444,1.9,5.1,0.373,2.1,3.9,0.538,0.55,2.3,2.7,0.852,0.8,3.1,3.8,2.1,1.1,0.7,1.2,2.3,12.2
89,Max Christie,21,DAL,SG,13,6,423,5.1,11.7,0.436,2.1,5.4,0.389,3,6.3,0.476,0.526,2,2.3,0.87,0.5,4,4.5,3.7,1.2,0.4,1.6,1.8,14.3
90,Taurean Prince,30,MIL,SF,60,53,1576,3.8,8.5,0.447,2.5,5.7,0.439,1.3,2.9,0.448,0.594,0.6,0.7,0.857,0.7,4.5,5.1,2.7,1.1,0.2,1.4,2.8,10.8
91,Josh Green,24,CHO,SG,55,54,1572,3.4,7.8,0.436,1.8,4.6,0.391,1.6,3.3,0.485,0.551,0.9,1.4,0.643,1.1,2.2,3.3,1.9,1.4,0.3,1.2,3.2,9.5
92,Desmond Bane,26,MEM,SG,50,49,1562,7.9,16.1,0.491,2.5,6.7,0.373,5.3,9.5,0.558,0.568,3.1,3.5,0.886,1.1,5.8,6.9,6.3,1.3,0.5,3,2.7,21.3
93,Amir Coffey,27,LAC,SG,60,13,1551,4.9,10.4,0.471,2.1,5,0.42,2.9,5.4,0.537,0.572,2.5,2.8,0.893,0.7,2.7,3.4,1.6,0.8,0.2,1,2.5,14.4
94,Guerschon Yabusele,29,PHI,C,58,31,1548,5.3,10.5,0.505,2,5.2,0.385,3.3,5.3,0.623,0.6,1.8,2.4,0.75,2.5,4.9,7.4,2.7,1.1,0.5,1.7,3.2,14.5
95,Jalen Duren,21,DET,C,60,60,1546,6.4,9.2,0.696,0,0,0,6.4,9.2,0.696,0.696,2.7,4,0.675,4.8,9.5,14.3,3.7,1,1.7,2.6,4.5,15.6
96,Spencer Dinwiddie,31,DAL,PG,61,20,1535,4.6,11.4,0.404,1.9,5.7,0.333,2.7,5.7,0.474,0.487,3.3,4,0.825,0.3,3,3.3,5.4,1.2,0.3,1.7,2.2,14.4
97,Victor Wembanyama,21,SAS,C,46,46,1527,9.6,20.2,0.475,3.3,9.5,0.347,6.3,10.7,0.589,0.557,3.7,4.5,0.822,1.9,10,11.9,4,1.2,4.1,3.5,2.5,26.3
98,Norman Powell,31,LAC,SG,46,46,1520,9,18.2,0.495,3.6,8.4,0.429,5.4,9.8,0.551,0.593,4.3,5.3,0.811,0.4,3.4,3.8,2.4,1.4,0.2,2.2,2,25.9
99,Russell Westbrook,36,DEN,PG,55,29,1518,6.4,13.8,0.464,1.6,4.8,0.333,4.8,9,0.533,0.522,2.5,3.9,0.641,1.8,4.7,6.5,8,1.8,0.7,4,3.3,16.8
100,P.J. Washington,26,DAL,PF,47,46,1515,5.6,13,0.431,1.8,4.7,0.383,3.8,8.3,0.458,0.5,2.6,3.6,0.722,1.8,7.3,9,2.6,1.3,1.2,2.1,2.7,15.6
101,Miles Bridges,26,CHO,PF,47,47,1512,8.2,19,0.432,2.5,7.8,0.321,5.8,11.3,0.513,0.497,3.7,4.3,0.86,1.3,7.4,8.7,4.2,0.8,0.7,2.4,1.7,22.7
102,Andrew Wiggins,29,2TM,SF,49,49,1508,7,16.1,0.435,2.5,6.8,0.368,4.5,9.3,0.484,0.512,4.1,5.2,0.788,1.8,3.6,5.4,2.9,1.1,0.9,1.7,1.9,20.6
102,Andrew Wiggins,29,GSW,SF,43,43,1296,7.2,16.3,0.442,2.6,6.9,0.377,4.6,9.4,0.489,0.521,3.9,5,0.78,1.8,3.6,5.5,2.8,1.1,0.9,1.6,1.9,21
